ErgId|ErgKurztitelS|ErgArtS|EroObjId
3384|Karl XI:s bröllop med Ulrika Eleonora av Danmark|sv:Karl_XI|37690;56314;42622;42623;42624;42625;42626;42627;45422;56488;53712;53713;53714;54095;67819;56015;58031;55581;55582
3386|Kronprins Adolf Fredrik bröllop i Stockholm|sv:Adolf_Fredrik|39015
3387|Gustav III och Sofia Magdalenas bröllop|sv:Gustav_III|55497;63882;63883;67848;67849;67850;62593;57457;57879;62594;62595;37667;52168;56924;69918;69919;69920;69921;69922;69923;69924;69925;69926;69927;69928;69929;69930;69931;69932
3388|Gustav IV Adolfs bröllop|sv:Gustav_IV_Adolf|64084;64085;62145;62146;62147
3389|Karl XIII och Hedvig Elisabet Charlottas bröllop|sv:Karl_XIII|68030;68031;69480;57890;57891;69479;68033
3394|Gustaf V och Victoria av Badens bröllop|sv:Gustaf_V|63283;63284;39245;60446;69954;60445;56350;54613;54614;54615;56356;56357;56358;56359;56360;56361;56362;57508
3396|Gustaf VI Adolf och Louise Mountbattens bröllop|sv:Gustaf_VI_Adolf|56902;51617;51799
3397|Carl XVI Gustaf och drottning Silvias bröllop||43242
3398|Gustaf V och Victorias silverbröllop|sv:Gustaf_V|39279;37167;37196
3400|Gustaf V:s statsbesök i Spanien 1927||43626;43627;43628
3405|Gustav Vasas död och begravning|sv:Gustav_Vasa|47448;47449;68077
3414|Erik XIV fängslad på Örbyhus slott|sv:Erik_XIV|36773
3423|Gustav II Adolfs kröning|sv:Gustav_II_Adolf|53640;56377;42658;42659;42660;42661;42662;42663;62169;62170;62207;62291;62292;66074;52977;59448;61914;61915;62290;68494;56399;57188;46030;42668;54604;56984;56992;59825;59826;59827;59829;59830;59831;59832
3427|Träffningen vid Stuhm||32432
3432|Erik XIV:s kröning|sv:Erik_XIV|62618
3433|Karin Månsdotters kröning|sv:Karin_Månsdotter|68043
3443|Karl X Gustavs kröning|sv:Karl_X_Gustav|47001;47358;37764;53339;56815;56814;62161;62162;62163;67901;67902;42558;42581;45560;45567;45565;42763;42764;41237;41238;55407;48146;30726;30727;42751;45533;52041;55955;55956;57641;55992;61371;61372;61373;67987;67986;67988;67989;67990;55850;55851;55852;55853;57633;57634;67936;67937;67897;67898;67899;62157;62156
3444|Hedvig Eleonoras kröning|sv:Hedvig_Eleonora|42752;37766;55407
3448|Ulrika Eleonora dy:s kröning|sv:Ulrika_Eleonora_d.y.|42752;55407
3449|Fredrik I:s kröning|sv:Fredrik_I|37771;55839;45421
3450|Adolf Fredriks kröning|sv:Adolf_Fredrik|55495;67845;67844;67843;64090;64091;57993;37773;61964;61965;62619;67678;67679;67866;67906;68082;20354
3451|Lovisa Ulrikas kröning|sv:Lovisa_Ulrika|52167;57880;57881;64115;64116;67840;67841;67842;67862;69793
3452|Gustav III:s kröning|sv:Gustav_III|55646;37775;67866;67863;67865;67864;57995;57996;60987;43140;43139;62619;43816;68033;55647;55777;20353
3453|Sofia Magdalenas kröning|sv:Sofia_Magdalena_av_Danmark|67862;63648;63649;67859;67860;67861
3454|Gustav IV Adolfs kröning|sv:Gustav_IV_Adolf|37797;62619;68022;68023;68024;68025;68026;57570;57337;57338;57343;54346;68199
3455|Fredrika Dorotheas kröning|sv:Fredrika_Dorotea_Vilhelmina_av_Baden|67862;55643;55644;55645;64092;64093;54160;54161
3456|Karl XIII:s kröning|sv:Karl_XIII|37778;62619;37793;57650;57651;67873;67874;67875;67876;67877;67878;42581;42582;42583;42584;42585;42586;56040;56041;56042;56043;64028;64029
3457|Hedvig Elisabet Charlottas kröning|sv:Hedvig_Elisabet_Charlotta_av_Holstein-Gottorp|67862;64086;64087;67879;62154;62153
3460|Gustav II Adolfs födelses 300-årsjubileum|sv:Gustav_II_Adolf|46317
3461|Överfarten av Weichsel vid Kleinwerder||67805;67806;67809
3462|Slaget vid Dirschau|sv:Slaget_vid_Dirschau|41607;41608;42766;52441;67807;67808;67810
3464|Gustav Adolfs-jubileet 1832||46343;46344;46345;46346;46347;46348;51962;52039
3465|Slaget vid Breitenfeld|sv:Slaget_vid_Breitenfeld|52175
3467|Kristinas kröning|sv:Drottning_Kristina|42579;42756;45838;45839;45841;45842;45837;42558;53339;42753;45560;45561;45562;45563;45564;45565;45567;42763;42764;43860;42581;42582;42583;42584;42585;42586;45855;45856;45857;45858;45859;45860;42754;40569;45843;45844;45845;45846;45847;45848;45849;45850;45851;45852;45853;45854;42587;42588;42752;55408;55407;44564;44565;45573;56264;61703;42751;64672;55955;55956;57641;55992
3468|Kristinas gravöppning|sv:Drottning_Kristina|69685
3476|Karl XI:s kungahyllning|sv:Karl_XI|42016;67904;36461;67905;53266
3477|Karl XI:s utnämning till Strumpebandsriddare|sv:Karl_XI|37427;46411;56242;59433
3480|Slaget vid Lund|sv:Slaget_vid_Lund|42918;69748;21714;36958;34157;57300
3481|Slaget vid Mohács||41600;41665;62601;62602
3482|Karl XI:s död och begravning|sv:Karl_XI|37768
3487|Kalabaliken i Bender (Varnitsa)|sv:Kalabaliken_i_Bender|48761;70034;33521;33817;42125;49359;55225
3488|Erövringen av Dünamünde||35330
3489|Karl XII:s död och begravning|sv:Karl_XII|37769;48422;20356
3490|Karl XII:s gravöppning|sv:Karl_XII|37784;48422
3491|Karl XII:s ritt Demotika-Stralsund|sv:Karl_XII:s_ritt_från_Pitești_till_Stralsund|48421;52045;33980;33981
3492|Fälttågen mot Norge, 1716-1718||45418
3494|Belägringen av Fredrikstens fästning - Karl XII:s död|sv:Belägringen_av_Fredrikstens_fästning|55773;50185;56804;56805;62566;42927;48890;56459;57396;56802;56803;67799;67800;67801;67802;67803;67433;67434;67435;36776;52044;69752;69753;67797;67798
3499|Instiftandet av Serafimer, Svärds- och Nordstjärneordnarna||42915;42916;55496;67846;67847;57992;70264;70265
3500|Träffningen vid Hölands prästgård||37553;57297;57298;57299
3501|Fredrik I:s begravning|sv:Fredrik_I|37772
3504|Lovisa Ulrikas begravning|sv:Lovisa_Ulrika|37774
3506|Slaget vid Valkeala|sv:Slaget_vid_Valkeala|55500;62133;55501
3509|Mordet på Gustav III|sv:Mordet_på_Gustav_III|63595;36571;36767;57340;52447;57346;57351;57352;57498;57499;67436;67437;67439;67440;67441;42126;55139;55140;55141;55142;55143;55144;55146;55147;57398;57399;57400;55145;47450;57397;67438;67804;57092;55503;55504
3514|Gustav III:s myndighetsförklaring|sv:Gustav_III|62129;62130;62131
3515|Slaget vid Svensksund (Ruotsinsalmi)|sv:Slaget_vid_Svensksund|55498;41952;41953;38431;38432;38433
3516|Gustav III:s dop|sv:Gustav_III|58116
3517|Gustav III:s italienska resa|sv:Gustav_III|39502;40759;40760
3518|Gustav III:s franska resa|sv:Gustav_III|48200;48201;48202;48203;64105;64106
3519|Sofia Magdalenas begravning|sv:Sofia_Magdalena_av_Danmark|37777
3523|Gustav IV Adolfs avsättning|sv:Gustav_IV_Adolf|57748;67867;67868;67869;67870;41946;41947;46458;46459;33448;57567;57568;57569;55819;55506;55507;46456
3524|Prins Gustav av Wasas död|sv:Gustav_av_Wasa|53822
3527|Hedvig Elisabet Charlottas död och begravning|sv:Hedvig_Elisabet_Charlotta_av_Holstein-Gottorp|37800
3528|Tronföljarvalet 1810|sv:Karl_XIV_Johan|35316
3529|Karl XIV Johans död och begravning|sv:Karl_XIV_Johan|37779;70218;70219;39464;32544;39509;39469;57296
3530|Karl XIV Johans kröning i Stockholm|sv:Karl_XIV_Johan|37799;46537;62619;42802;42803;45597;45604;61961;61962;41766;42804;45598;66280;66281;66151;66152;66153;66154;66155;66156;66157;66158;66159;54343;54340;54341;64034;64035;56040;56258;41765;56135;39433;54342;54346;56041;56042;56043;64028;64029
3531|Karl XIV Johans kröning i Trondheim|sv:Karl_XIV_Johan|67881;67882;67883;67884;67885
3533|Desiderias kröning|sv:Drottning_Desideria|54152;62154;54155;54156;54162;54163;62153;67862;24603;68033
3534|Desiderias överfart från Lübeck|sv:Drottning_Desideria|46608;46609
3538|Oscar I:s kröning|sv:Oskar_I|46136;68017;68018;68019;68020;68021;46129;54341;42229;46130;42230;50111;58022;43141;43142;46446;46447
3542|Karl XV:s kröning|sv:Karl_XV|46136;37780;46129;47290;49177;49178;49179;49180;49181;49182;49183;49184;49838;49839;49841;46130;42753
3544|Oscar II:s kröning i Stockholm|sv:Oscar_II|37796;45815;45816;56740;57848
3545|Oscar II:s kröning i Trondheim|sv:Oscar_II|57848
3554|Världsomseglingen med fregatten Vanadis|sv:HMS_Vanadis|60780;60779;60781;60782;60783;60405;60786;60789;60790;60791;60809;60810;60811;60812;60817;60818;60406;60408;60409;60410;60411;60412;60413;60784;60785;60807
3567|Sofia av Nassaus kröning|sv:Sofia_av_Nassau|55640;55641;53881;57882;57883;64113;64114
3570|Karl XV och Lovisa av Nederländernas bröllop|sv:Karl_XV|53885;55672;55482;53886
3579|Gustaf VI Adolf hedersdoktor vid Lafayette College, Easton|sv:Gustaf_VI_Adolf|49894;49895;49896;49897;49898;49899;49900;49901
3598|Lovisa av Sveriges kröning 1860|sv:Lovisa_av_Nederländerna|53883;55642;57900;57901;64082;64083;68011
3607|Carl XVI Gustafs regeringsjubileum||67135
3608|Carl XVI Gustafs 50-årsdag||69469;69818
3609|Victorias myndighetsförklaring||69471
3632|Oscar I och Josefinas bröllop|sv:Oskar_I|55815;55816;55817;55818;64002;64003;39016;56049;42344;42345;52168;55636;55637
3633|Josefinas kröning|sv:Josefina_av_Leuchtenberg|55630;55631;57455;57456
3635|Oscar II och Sofia av Nassaus bröllop|sv:Oscar_II|55624;55623
3642|Karl XI:s dop|sv:Karl_XI|52980
3643|Kronprins Karl Augusts begravning|sv:Karl_August|36876;36733
3644|Prins Eugens dop|sv:Prins_Eugen|37005
3646|Gustav III:s revolution|sv:Gustav_III|67857;67853;67856;67855;67851;67852;37700;37716;37729;37758;37760;37709;39008;48412;69948;40382;68490;67854;55502;64067;67910;67911
3650|Carl Philips dop||52980
3659|Kristinas dop|sv:Drottning_Kristina|58244;58243;58242
3672|Prins Eugens död och begravning|sv:Prins_Eugen|69758
3673|Serafimerringning för prins Eugen|sv:Prins_Eugen_av_Sverige|69758
3674|Mordet på Axel von Fersen|sv:Axel_von_Fersen|36876;36733
3675|Slaget vid Dennewitz|sv:Slaget_vid_Dennewitz|38882;38883
3676|Vita arméns intåg i Helsingfors|sv:Vita_armén|39018
3677|Krigsbyte från Tyskland, Mainz||91344;91345;91346;91410;91571;93256;91675;91727;91729;91735;91755;91757;91803;91825;91918;91919;91946;92124;92315;92541;92734;92752;93085;93701;93766;94248;94564;94622;94654;94658;94659;94660;94661;94758;94849;95103;95176;95183;95286;95290;95362;95363;95364;95365;95413;95414;95415;95416;95417;95418;95474;95508;95552;95729;95731;95798;95803;95839;95902;96136;96139;96179;96219;96301;96303;96304;96328;96406;96419;96420;96457;96458;96459;96460;96461;96501;96532;96573;96591;96667;96708;96714;96783;97846;97065;97068;97185;97295;97297;97457;97483;97490;97491;97576;97690;97693;97878;97907;98039;98117;98118;98207;98229;98363;98434;98435;98580;98656;98692;98751;98808;98819;98820;98865;98926;99123;99243;99244;99374;99381;99418;99431;99452;99521;99522;99539;99932;99933;99684;99685;99686;99687;99689;99690;99691;99720;99749;99771;99786;99900;99958;100019;100020;100024;100112;100141;100142;100159;100163;100167;100178;100185;100187;100188;100195;100203;100204;100259;100260;100264;100267;101156;101157;101158;100683;100808;100847;100856;100893;101155;101199;101200;101238;101381;101394;101418;101421;101427;101432;101518;101519;101535;101536;101597;102053;102059;102081;102278;102389;102390;102408;102430;102432;102497;102523;102524;102602;102613;102614;102615;102616;102617;102647;102648;102649;102650;102652;102657;102659;102662;102663;102664;102665;102677;102678;102762;102832;102848;102849;102859;102860;102925;102926;103646;103101;103150;103200;103202;103299;103363;103394;103408;103433;103458;103504;103551;103645;103652;103663;103679;103687;103688;103759;104407;103798;103799;103800;103804;103805;103808;103817;103818;103820;103854;104092;104093;104100;104204;104367;104371;104421;104489;104611;104718;104764;104915;104916;104927;105016;105019;105035;105051;105203;105270;105317;105323;105356;105460;105474;105649;105725;105734;105913;105916;105918;105958;106169;106234;106235;106370;106390;106404;106472;106565;106588;106635;106724;106943;106994;106995;107126;107211;107214;107215;107216;107226;107402;107426;107436;107604;107605;107622;107633;107779;107942;108160;108183;108184;108219;108226;108227;108241;108242;108277;108282;108344;108345;108373;108483;108502;108503;108655;108656;108657;108737;108758;108797;108802;108993;108998;108999;108871;108872;108919;108961;109002;109004;109005;109095;109109;109117;109327;109411
3679|Krigsbyte från Tyskland, Glogau||91378;92739;92743;94927;93400;93570;94305;94521;94553;94563;94817;95237;96805;95400;95525;95544;95549;95554;95591;96048;96084;96165;96211;96302;96362;96443;96530;96674;96677;96712;96713;96790;96791;96793;96795;96796;96834;97092;97024;97120;97134;97140;97141;97153;97228;97261;97444;97454;97656;97688;97882;98045;98097;98105;98136;98866;98942;99139;99152;99310;99417;99419;99541;99597;99629;99632;99718;99888;100018;100021;100115;100186;100400;100602;100603;100728;101162;100723;100762;100967;101026;101027;101595;102274;102498;102673;102834;102861;103460;103461;103625;103816;104206;104319;104850;104851;104852;104853;104855;104979;104996;105065;105067;105077;105078;105159;105160;105289;105335;105583;105820;105841;105842;105886;106575;106875;107041;107042;107116;107230;107608;107628;107739;107790;107865;107866;107971;107981;108290;108301;108478;108658;108692;108706;108932;109105;109373;109378
3680|Krigsbyte från Tyskland, Bayern||91406;91681;94390;96798;96799;98005;98828;102120;102840;103656;103809;104702;106717
3681|Krigsbyte från Danmark||91462;91597;91606;91624;91786;91915;91937;92171;92414;92691;92773;93008;93036;93468;93823;94220;94245;94249;94597;94847;94864;94865;94866;94902;94903;94909;94910;94911;94921;95000;95064;95204;95349;96599;95687;95791;95800;95915;96025;96026;96036;96060;96214;96286;96360;96481;96659;96665;96672;96678;96734;96736;96816;96835;96892;96934;96936;96937;97073;97098;97101;97169;97183;97217;97241;97276;97629;97648;97665;97788;97994;97995;98012;98017;98077;98246;98446;98678;98709;98710;98711;98750;98781;98938;98974;99161;99162;99194;99195;99267;99268;99269;99270;99350;99534;99567;99626;100456;99679;99694;99816;100122;100147;100169;100170;100270;100285;100287;100345;100384;100441;100450;100483;100536;100542;100568;100581;100879;100956;100998;101085;101202;101266;101377;101382;101435;102718;101575;101677;102020;102461;102717;102776;102991;103085;103157;103158;103211;103224;103285;103286;103328;103583;103588;104477;103835;103881;104126;104229;104351;104390;104463;104511;104512;104591;104684;104925;104991;105002;105011;105045;105062;105167;105304;105319;105325;105345;105412;105475;105563;105644;105876;105914;105922;105995;106528;106673;106807;107056;107098;107118;107163;107260;107313;107321;107325;107615;107621;107718;107935;107940;107961;108132;108335;108482;108492;108498;108659;108860;108888;108987;109084;109168;109260;109339
3682|Krigsbyte från Tyskland, Sonnewalde||91534;91614;94893;97485;97772;97773;97861;98796
3683|Krigsbyte från Tyskland||91535;94179;94740;95107;95108;95109;95163;95650;98415;99440;99929;99931;100272;100914;101482;101483;103538;103684;103806;103807;103850;104313;105515;106738;106595;106730;106805;107283;107319;108108;108915
3684|Krigsbyte från ?||91545;92400;95310;95436;95685;96627;97225;97361;97577;98141;98437;98677;98892;98893;98979;99757;100258;100261;100262;100263;100265;100266;100268;100397;100398;100399;100831;102117;102835;103301;103361;103490;103591;104635;104636;104637;104639;104640;104641;104648;104799;104800;104883;105084;105294;105329;105334;106170;106384;106420;106651;106688;106690;106806;106974;107192;107252;107437;107746;107762;107763;108125;108126;108172;108217;108326;108330;108484;108653;108752;108827;108911;109380;109427
3685|Krigsbyte från Danmark, Bretenberg (fam. Rantzau)||91590
3686|Krigsbyte från Danmark (?)||91609;92192;92424;93302;93471;96587;97456;98880;99233;100494;100541;102347;105204;105380;105877;107320;107931;108291;109347
3687|Krigsbyte från Polen||91617;93269;93273;93322;93384;93385;93387;93598;94180;95289;95848;95919;96038;96442;97154;97831;97840;97901;98396;98762;98763;98764;99462;99872;99873;99874;99875;100180;100291;100486;100895;101614;101640;101728;102475;102645;102679;102746;102766;102767;103297;104331;104721;104981;105240;105272;105372;105579;105635;105778;107423;107577;107834;108251;108700;108717;108718;108851;109366
3688|Krigsbyte från Tyskland, Mainz (?)||91748;92646;93769;94452;96073;97525;99670;99752;99793;102846;103190;103191;103192;103193;103195;104926;106083;108307;108306
3689|Krigsbyte från 1800-t.kat.Bielke: p.288||92629
3690|Krigsbyte från Tyskland (?)||92663;92711;93738;95104;95106;95187;95188;95189;95675;95961;96343;96407;97701;97292;97492;97698;97826;98305;98778;99215;99669;99726;99794;100100;102277;103147;103681;104098;104099;104212;104532;105049;105293;105933;106382;106383;107234;107804;108118;108157;108169;108914;109379
3691|Erövringen av Würzburg (Herbipolis), Tyskland, 1631-10||93043;101693;106672;107470;107424
3693|Krigsbyte från Sonnewalde, Tyskland||93473
3694|Krigsbyte från Danmark (?).||94226
3695|Krigsbyte från Tyskland, Ortenpurg i Bayern||94620;98723;98724;98725;99094;102283;106808;106809
3696|Krigsbyte från Tyskland (Bayern), Landsberg (?)||95007;95008;95010;95011;95012;95013;102639;102640;102641;102847
3697|Krigsbyte från Tyskland, Maniz||95184;95185;95186
3699|Krigsbyte från Polen (?)||95546;95547;95548;96212;96373;100873;103209;105480;107382;108719
3700|Krigsbyte från Tyskland(?), Oppenheim (Pfalz) (?)||95574;97210
3701|Krigsbyte från Tyskland (se Wr teol.8 4:o)||96142;99903
3702|Krigsbyte från Danmark (trol.)||96378;96381;96382
3703|Krigsbyte från Danmark, Nakskov (1658)||96858;108984
3704|Krigsbyte från Tyskland, Bayern (?)||97367;102666
3705|Krigsbyte från Danmark(?)||97518
3706|Krigsbyte från Tyskland, Mainz(?)||99122;105434
3707|Krigsbyte från Slott Sonnewalde [=Solms], Tyskland (Brandenburg).||99681
3708|Krigsbyte från Danmark (Vindinge?)||99773
3709|Krigsbyte från: Kostar mig på Gyllengrijpska auctionen i Stockh: i martio 1737 kiöptal d. 6 koppmtt. C G Bielke (förs., bläck).||101305
3710|Krigsbyte från Tyskland (?), Mainz (?)||101248
3711|Krigsbyte från Aarhus, Hellerijd, Danmark||101265
3712|Krigsbyte från Tyskland, Germersheim-Bingen||103078
3713|Krigsbyte från Tyskland(?)||103439;104914;109318
3714|Krigsbyte från: Spansk sentens + Nicolaus Brahe en Lisbona 1655 (förs.).||105066
3716|Krigsbyte från Tyskland (se Collijn: I, s. 85 om Han).||106155
3717|Krigsbyte från Tyskland (?)||106207
3718|krigsbyte från Norge-Danmark||106674
3720|Krigsbyte från Tyskland, Mainz||107085
3722|Krigsbyte från Tyskland||107472
3723|Krigsbyte från Tyskland, Danzig (?)||107998
3724|Krigsbyte från EW76/MP03||108097
3725|Krigsbyte från E. C. (titelbl., bläck).||108506
3726|Stora daldansen (Dalupproret)|sv:Dalupproret_1743|66358
3728|Stockholmstidningens 20:e Riksskyttetävling||49473
3730|Träffningen vid Porkkala udde||37282;38437
3732|Träffningen vid Björkösund||37282;38437
3734|Erövringen av Warszawa||67575;67576;67577;67578;67579;67580;67649;67650;67651;28003;28004;28005;28006;28404
3737|Slaget vid Brunnbäcks färja|sv:Slaget_vid_Brunnbäcks_färja|46187;50263
3739|Karl X Gustav och Hedvig Eleonoras bröllop|sv:Karl_X_Gustav|33072;33073;33074;33075;33076;33077;33078;33079;55955;55956;57641;55992;61371;61372;61373;67987;67986;67988;67989;67990;55850;55851;55852;55853;57633;57634;67936;58539;58540;58541;55847
3740|Gustav III:s tornerspel 1778|sv:Gustav_III|51327;56257
3741|Johan Kasimir och Katarina av Sveriges bröllop||57154;57155;57156;57157;57158;57159;57160;57161;57162;57163;57164
3743|Gustav III:s möte med Katarina|sv:Gustav_III|57988;57458;57459;67851;67852;67853
3744|Adolf Fredriks trohetsed|sv:Adolf_Fredrik|62129;62130;62131
3745|Adolf Fredriks uppsalabesök.|sv:Adolf_Fredrik|62129;62130;62131
3746|Gustav III:s uppsalabesök|sv:Gustav_III|62129;62130;62131
3747|Serafimerordens stora ordensdag 1772|sv:Serafimerorden|55782;55783;55784;55785
3748|Stora ordensdagen||67942;67943;67944;67945
3749|Riksdagens öppnande, Gustav III||67947;67950;67951;67952;67953;55686
3750|Förenings- och säkerhetsaktens genomdrivande||67947;67950;67951;67952;67953;55687
3751|Gustav III:s resa till Spa|sv:Gustav_III|67947;67950;67951;67952;67953;55686
3752|Mindre ordensdagen||55680;55681;55682;55683;55684;55685
3753|Första fredskonferensen i Haag 1899|sv:Fredskonferensen_i_Haag|13279
3754|Internationella Kvinnoförbundets kongress i Stockholm 1911||13777
3756|Olympiska sommarspelen i Stockholm 1912|sv:OS_i_Stockholm|13783;13612;13782
3758|Svenska spelen i Stockholm 1916|sv:Svenska_spelen|13618;13622;13781
3759|Första världskriget 1914 - 1919|sv:Första_världskriget|6381;6657;6778;6779;6783;6784;6791;6939;6965;6966;7216;7364;7365;7480;7485;7534;7609;7619;7620;7621;7622;7809;7823;19684;20146;20147;20148;20149;19605;19753;19754
3760|Oscar II:s regeringsjubileum 1897||17066
3761|Änkedrottning Alexandra av Englands 70-års dag|sv:Alexandra_av_Danmark|17486
3762|Fransk-tyska kriget 1870 - 1871|sv:Fransk-tyska_kriget|17757;20761
3763|Baltiska utställningen Malmö 1914|sv:Baltiska_utställningen|17487
3765|Landstormen 1914|sv:Landstorm|17751
3766|Konungamötet i Malmö 1914||17749;20360
3767|Jubileumsutställningen i Göteborg 1923|sv:Jubileumsutställningen_i_Göteborg|17758;21004
3768|Finska kriget 1808 - 1809|sv:Finska_kriget|17645;53248
3769|400-årsminnet av Gustaf Vasas befrielseverk||20463
3772|Världsrevolutionen 1917 - 1921|sv:Ryska_revolutionen|19965;19963;19957
3773|400-årsminnet av Martin Luthers ankomst till Wartburg||19617;19973
3774|Gustav Vasas intåg i Stockholm 1523|sv:Gustav_Vasa|20973
3775|300-årsminnet av Gustaf II Adolfs födelse 1894||20974;20975
3776|Oscar II och drottning Sofias guldbröllop 6 juni 1907.|sv:Oscar_II|20015
3778|Konstindustriutställningen 1909|sv:Konstindustriutställningen_1909|20829
3782|Slaget vid Tannenberg 1914|sv:Slaget_vid_Tannenberg|21194
3783|Stockholmsutställningen 1866|sv:Stockholmsutställningen_1866|20832
3784|Weltausstellung - Världsutställningen i Wien 1873|sv:Världsutställningen_1873|19811
3785|Exposition Universelle - Världsutställningen i Paris 1855|sv:Världsutställningen_1855|21089;21090
3786|Exposición Nacional de Minería, Madrid 1883|en:Exposición_Nacional_de_Minería_(1883)|21091
3787|Allmänna Konst- och Industriutställningen 1897|sv:Allmänna_konst-_och_industriutställningen|20830;20831;69999
3790|Drottning Ulrika Eleonoras död 1741|sv:Ulrika_Eleonora|20231
3794|400-årsminnet av Martin Luthers födelse||19701;19556
3795|Finlandsdagarna i Stockholm 1925||21015
3796|Nordiska spelen 1926|sv:Nordiska_spelen|20540
